molecular_weight,num_rings,num_het_rings,num_atoms,num_het_atoms,fraction_CSP3,num_hba,num_hbd,num_rotatable_bonds,num_amide_bonds,logP,TPSA,pIC50
1034.416,5,1,163,19,0.867924528,11,6,23,6,4.6087,249.72,6.8927898
565.722,5,2,79,9,0.6,4,3,5,0,4.076,83.01,6.8538718
451.634,6,2,69,3,0.387096774,1,1,3,1,4.6014,36.92,6.8239088
545.722,4,2,79,9,0.551724138,6,3,10,1,2.3691,120.75,6.8239088
673.943,1,1,100,14,0.774193548,9,6,11,5,2.3496,174.96,6.8068752
367.493,6,1,56,5,0.636363636,4,1,3,1,3.20202,67.92,6.7695513
458.973,5,3,58,7,0.230769231,4,3,4,0,2.707,84.64,6.7695513
493.672,4,1,77,7,0.517241379,4,4,11,2,2.8433,98.28,6.7447276
408.38,3,2,48,10,0.315789474,6,2,5,1,3.0671,98.83,6.7351823
991.282,3,1,156,20,0.82,12,7,26,8,1.8037,287.18,6.7235384
515.766,2,2,77,10,0.791666667,6,5,7,3,0.4099,124.14,6.7212462
532.705,3,0,81,7,0.375,4,3,15,2,3.423,95.48,6.7212462
721.796,3,1,97,18,0.441176471,11,7,19,5,-2.6769,286.27,6.7212462
468.409,5,3,49,10,0.083333333,4,2,3,0,2.927,78.66,6.7033348
351.45,3,1,51,5,0.333333333,4,1,5,1,3.2303,67.92,6.6989698
558.652,3,0,72,11,0.285714286,6,3,11,1,2.085,140.65,6.6989698
605.681,5,2,80,10,0.323529412,4,3,11,2,4.4084,99.14,6.6777806
410.832,5,2,45,7,0.136363636,5,1,2,0,4.8489,66.07,6.5528421
441.778,3,2,43,7,0.333333333,4,2,4,0,1.2767,66.13,6.5086384
372.836,3,2,45,8,0.222222222,4,3,3,2,0.1123,102.29,6.4894552
323.396,3,1,45,5,0.263157895,4,1,3,1,2.7542,67.92,6.4202166
649.834,4,1,91,11,0.371428571,6,4,9,2,2.8763,141.65,6.3979402
442.95,4,2,55,6,0.153846154,5,1,8,0,6.18358,76.86,6.3767509
371.347,3,2,42,9,0.222222222,6,2,3,1,2.24288,113.39,6.3615108
428.945,4,3,50,8,0.285714286,5,3,5,0,0.9043,94.81,6.3467875
432.935,4,2,54,7,0.25,4,3,4,0,2.03048,95.54,6.3279023
451.603,3,1,64,7,0.541666667,3,3,9,1,3.2757,65.94,6.3279023
487.751,0,0,82,8,0.88,5,4,18,3,3.4948,107.53,6.2291479
428.965,3,1,52,7,0.181818182,3,3,7,1,3.2568,89.94,6.2291479
439.641,1,1,76,7,0.875,4,4,7,3,3.0498,107.53,6.2291479
517.407,4,1,57,8,0.038461538,3,4,6,2,3.0269,114.74,6.221849
579.762,4,1,89,9,0.545454545,5,4,14,3,2.705,124.58,6.2182446
319.493,3,1,56,4,0.894736842,2,2,5,1,4.05247,56.19,6.2182446
404.963,3,2,52,6,0.428571429,4,2,6,0,1.4667,66.13,6.2146702
414.514,5,3,50,7,0.130434783,6,2,4,0,2.00852,87.89,6.2006593
487.967,4,1,59,8,0.074074074,4,3,7,1,3.6604,111.94,6.154902
396.878,4,2,49,7,0.285714286,4,2,4,0,1.3809,83.2,6.124939
421.354,3,2,45,11,0.263157895,6,2,3,1,3.22578,113.39,6.1101384
481.432,4,1,56,7,0.454545455,4,3,6,0,2.1123,91.21,6.0222764
432.311,3,1,48,9,0.15,4,3,5,2,3.5376,101.51,5.9956784
621.749,4,1,88,10,0.4,4,3,12,3,3.32542,106.56,5.939302
522.407,3,1,56,10,0.428571429,4,3,6,0,2.3623,97,5.8632793
572.679,3,0,75,11,0.310344828,6,3,15,2,3.1327,138.44,5.8538718
323.44,6,1,49,4,0.6,3,1,2,1,2.885,58.69,5.8153086
460.62,3,2,66,8,0.5,5,1,2,0,2.2788,104.21,5.7447276
572.792,3,0,86,9,0.548387097,5,4,15,2,2.7533,129.18,5.7447276
462.611,4,2,65,8,0.5,3,1,5,0,2.6157,54.29,5.6197886
492.619,5,2,71,8,0.464285714,3,3,5,3,3.6626,78.24,5.5528421
363.392,4,2,45,6,0.142857143,5,1,4,0,3.4848,69.73,5.545155
374.464,4,2,52,5,0.217391304,4,2,5,0,1.8573,71.34,5.4948502
386.383,3,1,47,9,0.210526316,6,2,7,0,3.431,116.3,5.4948502
501.712,2,0,83,7,0.689655172,4,4,13,3,3.7384,107.53,5.4317985
319.388,3,1,43,5,0.052631579,2,3,4,1,1.0121,85.64,5.4317985
492.371,5,3,50,9,0.333333333,5,2,2,1,1.4366,106.15,5.3979402
421.504,5,3,55,6,0.076923077,5,3,7,0,5.3982,88.85,5.3767509
582.712,3,0,84,9,0.393939394,4,3,15,2,4.00962,95.48,5.3665314
347.418,4,1,47,5,0.238095238,5,1,4,0,3.3092,70.14,5.3372421
427.278,4,2,44,7,0.25,4,2,3,1,1.58978,95.8,5.2034259
301.797,3,1,39,4,0.235294118,2,2,2,0,2.0378,49.22,5.2006593
432.528,3,1,60,8,0.333333333,4,4,7,3,3.55135,121.11,5.154902
362.905,3,1,52,6,0.578947368,4,2,6,1,4.3096,72.94,5.154902
345.426,4,2,47,5,0.19047619,4,2,4,0,1.6274,75,5.1023731
400.954,6,1,57,6,0.636363636,4,2,5,1,4.554,72.94,5.0506101
314.392,4,2,42,4,0.05,3,3,4,0,4.4242,66.73,5.0409584
327.815,4,2,41,5,0.333333333,4,1,2,0,3.8848,60.5,4.9281178
348.382,4,2,44,6,0.25,4,2,3,1,0.82728,95.8,4.91364
331.419,4,1,46,4,0.238095238,4,1,3,0,3.60902,60.91,4.767004
257.337,3,1,38,4,0.466666667,2,2,2,1,1.93527,56.19,4.7447276
460.373,5,3,48,7,0.333333333,4,2,2,1,2.755,72.01,4.6458917
354.435,3,1,43,7,0.111111111,5,2,5,0,3.56712,83.98,4.6197886
304.393,3,1,43,3,0.15,3,1,5,0,4.1246,48.14,4.6020598
340.403,4,2,47,6,0.526315789,4,2,2,1,0.98188,95.8,4.5951662
348.878,3,1,49,6,0.555555556,4,1,5,1,3.8432,64.15,4.5850267
322.408,3,1,46,4,0.3,2,2,4,0,-0.2007,66.13,4.5654311
338.205,3,2,36,6,0.428571429,4,1,0,1,1.9922,67.92,4.4337983
291.378,4,2,41,4,0.222222222,3,2,2,0,0.4433,55.59,4.4202166
306.369,3,2,41,5,0.111111111,5,2,5,0,3.3465,73.06,4.3979402
236.34,2,1,32,4,0.416666667,4,1,2,0,2.362,47.61,4.3851027
245.326,2,1,37,4,0.428571429,3,1,3,1,1.5547,58.69,4.3829994
387.528,2,1,61,7,0.571428571,3,4,9,3,2.95727,97.32,4.1079054
323.372,4,2,43,5,0.263157895,3,2,3,1,0.9556,72.01,4.067019
237.306,3,2,33,3,0.133333333,2,2,3,0,2.9303,54.7,4.0268722
296.33,4,3,38,6,0.3125,6,1,2,0,1.4727,82.62,4.0030508
327.411,4,2,44,4,0.095238095,3,2,3,0,1.862,65.24,4
276.343,3,2,37,4,0.058823529,4,2,4,0,3.3379,63.83,4
317.365,4,3,44,6,0.529411765,4,2,2,1,-0.0656,81.24,3.9430952
254.293,3,2,33,5,0.142857143,3,3,3,0,1.6186,87.56,3.8860567
273.809,1,0,35,5,0.416666667,2,2,6,0,1.8259,60.84,3.6777806
322.432,3,2,48,4,0.25,3,2,7,0,2.2569,56.49,3.6020601
199.257,2,1,28,3,0.083333333,3,2,3,0,2.2759,50.94,3.5086384
293.798,2,1,40,5,0.466666667,2,2,4,1,3.01137,56.19,3.3010299
194.273,2,1,31,2,0.5,0,1,2,0,1.3416,16.61,3.3010299
241.294,3,1,33,4,0.285714286,4,1,2,0,1.6336,60.91,3.2083094
251.717,2,1,31,5,0.333333333,2,2,2,1,1.98517,56.19,3.154902
225.679,2,1,27,5,0.3,4,2,3,0,1.6543,64.07,3.1135092
214.272,3,2,30,4,0.333333333,4,1,1,0,1.8122,55.04,3.0604808
232.714,2,1,29,3,0.153846154,2,1,3,0,3.1024,38.91,3
144.177,2,1,19,2,0,2,1,0,0,1.817,38.91,3
144.177,2,1,19,2,0,2,1,0,0,1.817,38.91,3
266.361,2,1,43,4,0.6,3,2,5,0,-0.04176,43.13,2.6989701
153.185,1,1,22,4,0.428571429,3,2,2,0,0.3046,71.77,2.6989701
1350.495,5,2,184,31,0.46969697,18,15,40,10,-5.5623,525.06,10.522879
658.863,1,1,99,15,0.766666667,10,5,18,4,1.42784,197.82,9.5228786
933.046,1,0,132,22,0.636363636,15,8,31,6,-6.1662,382.99,9.5228786
608.706,5,2,84,10,0.411764706,5,3,11,2,3.00952,104.71,9.1549015
685.814,5,2,91,13,0.428571429,6,3,11,2,2.17114,132.86,9
851.97,4,0,111,17,0.348837209,9,5,20,4,4.2522,192.47,9
890.989,1,0,125,22,0.609756098,14,9,29,7,-6.457,385.95,9
458.547,5,4,55,9,0.25,8,1,4,1,2.80878,107.84,9
701.931,2,0,104,13,0.555555556,7,5,17,4,3.7704,174.01,8.9586077
373.889,3,3,43,7,0.277777778,3,2,2,1,1.6169,70.82,8.7695513
659.829,4,0,90,11,0.277777778,6,4,15,2,3.0476,141.65,8.7447271
455.543,5,3,54,8,0.2,6,1,3,2,3.04098,102.79,8.5228786
458.547,5,4,55,9,0.25,8,1,4,1,2.80878,107.84,8.5228786
896.023,4,0,118,18,0.377777778,10,5,23,4,4.2688,201.7,8.5086384
345.426,4,2,47,5,0.285714286,2,2,3,1,0.902,70.82,8.2676058
453.531,5,4,52,9,0.208333333,8,1,3,1,2.67186,122.4,8.2218485
419.549,4,1,62,6,0.4,4,2,6,1,1.9412,80.61,7.9586072
571.72,5,3,79,11,0.482758621,7,4,9,1,0.7477,137.71,7.8860564
485.997,3,1,57,10,0.217391304,5,3,6,2,4.29204,118.7,7.6989698
666.865,3,0,95,12,0.4,6,5,16,3,1.9995,161.52,7.6020598
730.948,2,1,114,14,0.684210526,8,7,14,6,2.6775,204.06,7.6003261
561.722,3,0,83,8,0.363636364,3,3,14,3,4.7044,106.15,7.5850267
432.429,5,3,49,8,0.083333333,4,2,4,0,2.7067,78.66,7.5833597
464.378,3,1,49,10,0.15,5,3,5,1,4.26082,115.62,7.3979402
324.409,3,2,39,6,0.235294118,5,1,2,1,2.67878,82.48,7.251812
341.822,4,2,42,6,0.277777778,2,2,3,1,1.184,70.82,7.2291479
445.523,5,3,52,8,0.208333333,6,1,3,1,3.54428,85.72,7.0457573
372.448,4,1,50,5,0.130434783,2,2,4,1,1.7825,67.16,6.7212462
323.396,3,1,45,5,0.263157895,4,1,3,1,2.7542,67.92,6.5686364
546.692,4,1,80,9,0.35483871,5,4,13,3,1.507,110.75,6.3477535
343.41,4,2,45,5,0.095238095,2,2,3,1,1.1689,70.82,6.2757239
503.711,5,1,80,6,0.548387097,4,2,8,1,4.8415,72.77,6.0457573
266.324,3,1,36,4,0.125,1,2,2,1,0.1069,57.93,5.4436975
606.791,5,1,89,8,0.297297297,4,4,14,3,3.1113,101.52,5.3009434
300.405,3,1,43,2,0.19047619,2,1,1,0,4.8816,38.91,5.2146702
311.429,3,1,48,4,0.473684211,3,2,5,1,3.4461,68.01,4.8477116
311.429,3,1,48,4,0.473684211,3,1,4,1,3.5407,59.22,4.415669
226.304,3,2,26,3,0,3,1,1,0,3.5455,38.91,4.4111681
541.09,3,1,71,11,0.48,6,3,10,1,1.83412,121.39,4.1307683
527.063,3,1,68,11,0.458333333,6,3,10,1,1.5257,121.39,3.769551
220.336,2,0,38,2,0.571428571,1,2,3,0,2.2243,47.87,3.6575773
166.244,1,0,28,2,0.4,1,2,3,0,0.739,47.87,3.1804562
152.217,1,0,25,2,0.333333333,1,2,2,0,0.5651,47.87,3.09691
138.19,1,0,22,2,0.25,1,2,2,0,0.1766,47.87,2.6989701
403.57,3,1,63,4,0.384615385,3,2,6,1,5.52342,68.01,9.1870871
615.742,4,2,89,11,0.545454545,5,5,13,3,1.2043,135.58,9.0506096
498.663,4,2,77,7,0.586206897,4,3,8,1,3.53572,88.06,9.004365
484.636,4,2,74,7,0.571428571,4,3,8,1,3.2273,88.06,9
639.764,3,0,91,11,0.4,6,3,17,2,4.0716,117.07,9
637.867,4,1,94,10,0.457142857,6,4,10,1,4.0361,124.58,9
612.791,6,2,91,8,0.459459459,5,3,7,2,4.4429,104.71,9
706.855,5,3,101,12,0.487179487,6,4,16,3,2.8238,137.47,8.8538723
706.855,5,3,101,12,0.487179487,6,4,16,3,2.8238,137.47,8.8239088
597.777,5,3,84,10,0.53125,7,3,11,1,3.9773,110.18,8.7212467
538.684,4,2,80,8,0.548387097,5,3,10,1,2.8351,97.29,8.7212467
502.626,4,2,74,8,0.571428571,4,3,8,1,3.3664,88.06,8.6989698
612.738,3,0,88,10,0.411764706,5,4,16,2,3.7545,115.71,8.6989698
663.905,5,1,98,10,0.486486486,6,4,10,1,4.5252,124.58,8.6989698
601.605,3,1,72,14,0.538461538,5,3,7,0,3.6576,106.23,8.6989698
577.661,3,1,76,12,0.555555556,6,3,9,0,2.7417,115.46,8.6989698
603.577,3,1,70,15,0.52,6,4,8,0,2.5875,126.46,8.6989698
617.604,3,1,73,15,0.538461538,6,4,9,0,2.63,126.46,8.6989698
568.632,4,2,78,11,0.586206897,5,3,9,1,4.1259,97.29,8.6777811
534.643,4,2,77,9,0.586206897,4,3,8,1,4.107,88.06,8.6197891
509.646,4,2,75,8,0.551724138,5,3,8,1,3.09898,111.85,8.6197891
481.531,5,3,60,8,0.142857143,6,2,5,1,3.97382,102.37,8.6038008
415.581,4,1,64,4,0.407407407,3,2,6,1,5.66752,68.01,8.6020603
625.834,7,4,95,8,0.526315789,6,3,6,1,4.0591,100.41,8.6020603
494.545,5,3,61,7,0.166666667,5,1,4,0,4.89902,73.27,8.5867004
657.823,4,2,98,11,0.583333333,5,4,16,3,2.6386,124.58,8.5850267
691.84,5,2,99,11,0.461538462,5,4,15,3,3.291,124.58,8.5850267
692.828,5,3,98,12,0.473684211,6,4,15,3,2.686,137.47,8.5850267
773.864,5,2,105,14,0.487804878,5,4,16,3,4.4476,124.58,8.5686359
585.769,6,4,88,8,0.514285714,6,3,5,1,3.49,110.06,8.5686359
538.684,4,2,80,8,0.548387097,5,3,10,1,2.8351,97.29,8.5376024
625.737,3,0,88,11,0.382352941,6,4,16,2,3.8994,128.07,8.5228786
567.654,4,2,73,12,0.444444444,5,3,10,1,2.2011,108.25,8.5228786
656.747,4,0,83,12,0.264705882,5,3,14,1,4.6674,112.55,8.5228786
730.877,5,2,103,12,0.463414634,6,4,16,3,3.30048,148.37,8.5228786
547.635,3,1,72,11,0.538461538,5,3,7,0,3.1152,106.23,8.5228786
835.971,4,0,110,16,0.348837209,8,5,19,4,4.8733,183.24,8.5086384
579.787,5,3,84,9,0.53125,7,4,10,1,3.5726,121.18,8.4948502
649.834,4,1,91,11,0.371428571,6,4,9,2,2.8763,141.65,8.4948502
520.694,4,2,80,7,0.548387097,5,3,10,1,2.696,97.29,8.4685211
484.636,4,2,74,7,0.571428571,4,3,8,1,3.2273,88.06,8.4436979
514.662,4,2,78,8,0.586206897,5,3,9,1,3.2359,97.29,8.4436979
814.018,4,0,113,14,0.363636364,8,5,20,4,4.7329,183.24,8.4436979
538.684,4,2,80,8,0.548387097,5,3,10,1,2.8351,97.29,8.431798
549.761,5,3,80,8,0.516129032,6,3,9,1,4.2117,100.95,8.431798
498.663,4,2,77,7,0.586206897,4,3,8,1,3.53572,88.06,8.3979397
610.722,3,0,86,10,0.382352941,5,3,16,2,3.9038,112.55,8.3979397
680.813,5,0,89,11,0.324324324,4,3,13,1,5.9263,103.32,8.3979397
621.714,3,1,83,13,0.586206897,7,3,12,0,2.7583,124.69,8.3979397
579.787,5,3,84,9,0.53125,7,3,11,1,3.8382,110.18,8.3872166
691.84,5,2,99,11,0.461538462,5,4,14,3,3.2046,124.58,8.3767509
514.662,4,2,78,8,0.586206897,5,3,9,1,3.2359,97.29,8.3467875
616.77,4,2,92,10,0.588235294,5,4,16,2,2.4948,115.71,8.3279018
555.721,5,3,78,10,0.482758621,6,3,9,1,1.4277,117.48,8.3010302
546.693,5,2,73,9,0.3,6,3,9,1,3.7974,103.67,8.3010302
597.846,4,2,91,9,0.545454545,5,3,13,1,3.8536,108.25,8.3010302
569.748,5,3,81,10,0.5,6,3,10,1,1.8178,117.48,8.3010302
654.775,4,0,85,11,0.285714286,4,3,13,1,5.3921,103.32,8.3010302
452.619,4,2,71,6,0.555555556,4,3,9,1,2.6981,88.06,8.3010302
638.776,4,1,92,10,0.444444444,5,4,17,2,3.1361,115.71,8.2839966
579.787,5,3,84,9,0.53125,7,3,11,1,3.8382,110.18,8.2839966
540.681,5,3,81,9,0.6,7,3,10,1,2.4434,115.75,8.2676058
600.771,4,2,91,9,0.588235294,4,3,15,2,3.3799,95.48,8.2441254
593.814,5,3,87,9,0.545454545,7,3,11,1,4.14662,110.18,8.2441254
593.814,5,3,87,9,0.545454545,7,3,12,1,4.2283,110.18,8.2441254
466.646,4,2,74,6,0.571428571,4,3,8,1,3.0882,88.06,8.2365723
692.828,5,3,98,12,0.473684211,6,4,15,3,2.686,137.47,8.2291479
633.813,7,4,92,8,0.41025641,6,3,6,1,4.5209,110.06,8.2291479
709.836,4,0,93,13,0.297297297,7,3,17,1,4.6873,134.14,8.2218485
647.784,4,1,87,12,0.424242424,5,4,12,1,4.2679,115.35,8.2218485
695.784,5,1,87,13,0.277777778,5,3,13,2,4.3955,123.63,8.2218485
515.618,3,1,69,10,0.52,5,3,8,0,2.4295,106.23,8.2218485
533.608,3,1,69,11,0.52,5,3,7,0,2.7267,106.23,8.2218485
615.588,4,2,71,15,0.538461538,6,3,7,0,3.1254,115.46,8.2218485
433.39,3,2,49,11,0.3,7,2,5,1,2.4655,111.72,8.2218485
411.48,5,2,53,5,0.230769231,4,1,2,0,3.60512,60.38,8.2160969
679.829,4,1,98,11,0.447368421,5,4,17,3,3.2799,124.58,8.2146702
597.777,5,3,84,10,0.53125,7,3,11,1,3.9773,110.18,8.2146702
605.825,6,4,88,9,0.558823529,7,3,10,1,4.3708,110.18,8.2006598
468.482,5,3,54,7,0.107142857,4,1,4,0,5.6025,64.16,8.1877556
502.626,4,2,74,8,0.571428571,4,3,8,1,3.3664,88.06,8.1870871
502.626,4,2,74,8,0.571428571,4,3,8,1,3.3664,88.06,8.1611509
579.787,5,3,84,9,0.53125,7,3,11,1,3.8382,110.18,8.1611509
567.654,4,2,73,12,0.444444444,5,3,10,1,2.2011,108.25,8.1549015
567.776,5,2,83,9,0.516129032,5,3,10,1,2.9715,108.25,8.1549015
551.664,4,1,71,10,0.24137931,5,2,9,1,4.0673,120.15,8.1549015
606.581,3,2,71,16,0.625,7,3,8,0,2.9367,132.26,8.1549015
547.635,3,1,72,11,0.538461538,5,4,8,0,2.4215,109.39,8.1549015
593.814,5,3,87,9,0.545454545,7,3,11,1,4.2267,110.18,8.1426678
593.695,4,1,82,10,0.333333333,5,3,13,2,4.0937,100.41,8.1307678
587.763,3,1,84,11,0.466666667,6,3,8,2,1.4772,132.86,8.124939
616.682,5,2,76,12,0.322580645,6,3,10,1,3.4103,114.24,8.0969105
513.684,4,2,73,9,0.444444444,5,3,10,1,1.6587,108.25,8.0969105
577.727,5,2,78,10,0.322580645,6,3,11,1,2.415,117.48,8.0969105
632.807,4,0,87,11,0.382352941,6,4,13,2,2.75878,156.21,8.0969105
